Epochs,Evaluation_Loss,Accuracy,Precision,Recall,F1,Tiempo,LR_scheduler_type,Training_Batch_Size,Evaluation_Batch_Size
3,0.98,0.56,0.532,0.56,0.537,1.12,NaN,16,64
3,0.97,0.81,0.829,0.81,0.817,1.22,NaN,16,64
4,0.675,0.78,0.781,0.783,0.779,2.1,Nan,16,64
4,0.479,0.864,0.873,0.864,0.865,2.11,Linear,16,64
4,0.436,0.837,0.911,0.837,0.853,2.14,Cosine,16,64
4,0.434,0.892,0.931,0.891,0.898,2.17,Cosine,24,128
4,0.319,0.918,0.943,0.918,0.924,2.09,Cosine,36,128
4,0.293,0.892,0.931,0.891,0.9,1.52,Cosine,44,192
4,0.302,0.919,0.943,0.919,0.924,1.35,Cosine,52,192
